team,week,opponent,home
ARI,1,NO,0
ARI,2,CAR,1
ARI,3,SF,0
ARI,4,SEA,1
ARI,5,TEN,1
ARI,6,IND,0
ARI,7,GB,1
ARI,8,BYE,0
ARI,9,DAL,0
ARI,10,SEA,0
ARI,11,SF,1
ARI,12,JAX,1
ARI,13,TB,0
ARI,14,LAR,1
ARI,15,HOU,0
ARI,16,ATL,1
ARI,17,CIN,0
ARI,18,LAR,0
ATL,1,TB,1
ATL,2,MIN,0
ATL,3,CAR,0
ATL,4,WAS,1
ATL,5,BYE,0
ATL,6,BUF,1
ATL,7,SF,0
ATL,8,MIA,1
ATL,9,NE,0
ATL,10,IND,0
ATL,11,CAR,1
ATL,12,NO,0
ATL,13,NYJ,0
ATL,14,SEA,1
ATL,15,TB,0
ATL,16,ARI,0
ATL,17,LAR,1
ATL,18,NO,1
BAL,1,BUF,0
BAL,2,CLE,1
BAL,3,DET,1
BAL,4,KC,0
BAL,5,HOU,1
BAL,6,LAR,1
BAL,7,BYE,0
BAL,8,CHI,1
BAL,9,MIA,0
BAL,10,MIN,0
BAL,11,CLE,0
BAL,12,NYJ,1
BAL,13,CIN,1
BAL,14,PIT,1
BAL,15,CIN,0
BAL,16,NE,1
BAL,17,GB,0
BAL,18,PIT,0
BUF,1,BAL,1
BUF,2,NYJ,0
BUF,3,MIA,1
BUF,4,NO,1
BUF,5,NE,1
BUF,6,ATL,0
BUF,7,BYE,0
BUF,8,CAR,0
BUF,9,KC,1
BUF,10,MIA,0
BUF,11,TB,1
BUF,12,HOU,0
BUF,13,PIT,0
BUF,14,CIN,1
BUF,15,NE,0
BUF,16,CLE,0
BUF,17,PHI,1
BUF,18,NYJ,1
CAR,1,JAX,0
CAR,2,ARI,0
CAR,3,ATL,1
CAR,4,NE,0
CAR,5,MIA,1
CAR,6,DAL,1
CAR,7,NYJ,0
CAR,8,BUF,1
CAR,9,GB,0
CAR,10,NO,1
CAR,11,ATL,0
CAR,12,SF,0
CAR,13,LAR,1
CAR,14,BYE,0
CAR,15,NO,0
CAR,16,TB,1
CAR,17,SEA,1
CAR,18,TB,0
CHI,1,MIN,1
CHI,2,DET,0
CHI,3,DAL,1
CHI,4,LV,0
CHI,5,BYE,0
CHI,6,WAS,0
CHI,7,NO,1
CHI,8,BAL,0
CHI,9,CIN,0
CHI,10,NYG,1
CHI,11,MIN,0
CHI,12,PIT,1
CHI,13,PHI,0
CHI,14,GB,0
CHI,15,CLE,1
CHI,16,GB,1
CHI,17,SF,0
CHI,18,DET,1
CIN,1,CLE,0
CIN,2,JAX,1
CIN,3,MIN,0
CIN,4,DEN,0
CIN,5,DET,1
CIN,6,GB,0
CIN,7,PIT,1
CIN,8,NYJ,1
CIN,9,CHI,1
CIN,10,BYE,0
CIN,11,PIT,0
CIN,12,NE,1
CIN,13,BAL,0
CIN,14,BUF,0
CIN,15,BAL,1
CIN,16,MIA,0
CIN,17,ARI,1
CIN,18,CLE,1
CLE,1,CIN,1
CLE,2,BAL,0
CLE,3,GB,1
CLE,4,DET,0
CLE,5,MIN,1
CLE,6,PIT,0
CLE,7,MIA,1
CLE,8,NE,0
CLE,9,BYE,0
CLE,10,NYJ,0
CLE,11,BAL,1
CLE,12,LV,0
CLE,13,SF,1
CLE,14,TEN,1
CLE,15,CHI,0
CLE,16,BUF,1
CLE,17,PIT,1
CLE,18,CIN,0
DAL,1,PHI,0
DAL,2,NYG,1
DAL,3,CHI,0
DAL,4,GB,1
DAL,5,NYJ,0
DAL,6,CAR,0
DAL,7,WAS,1
DAL,8,DEN,0
DAL,9,ARI,1
DAL,10,BYE,0
DAL,11,LV,0
DAL,12,PHI,1
DAL,13,KC,1
DAL,14,DET,0
DAL,15,MIN,1
DAL,16,LAC,1
DAL,17,WAS,0
DAL,18,NYG,0
DEN,1,TEN,1
DEN,2,IND,0
DEN,3,LAC,0
DEN,4,CIN,1
DEN,5,PHI,0
DEN,6,NYJ,0
DEN,7,NYG,1
DEN,8,DAL,1
DEN,9,HOU,0
DEN,10,LV,1
DEN,11,KC,1
DEN,12,BYE,0
DEN,13,WAS,0
DEN,14,LV,0
DEN,15,GB,1
DEN,16,JAX,1
DEN,17,KC,0
DEN,18,LAC,1
DET,1,GB,0
DET,2,CHI,1
DET,3,BAL,0
DET,4,CLE,1
DET,5,CIN,0
DET,6,KC,0
DET,7,TB,1
DET,8,BYE,0
DET,9,MIN,1
DET,10,WAS,0
DET,11,PHI,0
DET,12,NYG,1
DET,13,GB,1
DET,14,DAL,1
DET,15,LAR,0
DET,16,PIT,1
DET,17,MIN,0
DET,18,CHI,0
GB,1,DET,1
GB,2,WAS,1
GB,3,CLE,0
GB,4,DAL,0
GB,5,BYE,0
GB,6,CIN,1
GB,7,ARI,0
GB,8,PIT,0
GB,9,CAR,1
GB,10,PHI,1
GB,11,NYG,0
GB,12,MIN,1
GB,13,DET,0
GB,14,CHI,1
GB,15,DEN,0
GB,16,CHI,0
GB,17,BAL,1
GB,18,MIN,0
HOU,1,LAR,0
HOU,2,TB,1
HOU,3,JAX,0
HOU,4,TEN,1
HOU,5,BAL,0
HOU,6,BYE,0
HOU,7,SEA,0
HOU,8,SF,1
HOU,9,DEN,1
HOU,10,JAX,1
HOU,11,TEN,0
HOU,12,BUF,1
HOU,13,IND,0
HOU,14,KC,0
HOU,15,ARI,1
HOU,16,LV,1
HOU,17,LAC,0
HOU,18,IND,1
IND,1,MIA,1
IND,2,DEN,1
IND,3,TEN,0
IND,4,LAR,0
IND,5,LV,1
IND,6,ARI,1
IND,7,LAC,0
IND,8,TEN,1
IND,9,PIT,0
IND,10,ATL,1
IND,11,BYE,0
IND,12,KC,0
IND,13,HOU,1
IND,14,JAX,0
IND,15,SEA,0
IND,16,SF,1
IND,17,JAX,1
IND,18,HOU,0
JAX,1,CAR,1
JAX,2,CIN,0
JAX,3,HOU,1
JAX,4,SF,0
JAX,5,KC,1
JAX,6,SEA,1
JAX,7,LAR,1
JAX,8,BYE,0
JAX,9,LV,0
JAX,10,HOU,0
JAX,11,LAC,1
JAX,12,ARI,0
JAX,13,TEN,0
JAX,14,IND,1
JAX,15,NYJ,1
JAX,16,DEN,0
JAX,17,IND,0
JAX,18,TEN,1
KC,1,LAC,0
KC,2,PHI,1
KC,3,NYG,0
KC,4,BAL,1
KC,5,JAX,0
KC,6,DET,1
KC,7,LV,1
KC,8,WAS,1
KC,9,BUF,0
KC,10,BYE,0
KC,11,DEN,0
KC,12,IND,1
KC,13,DAL,0
KC,14,HOU,1
KC,15,LAC,1
KC,16,TEN,0
KC,17,DEN,1
KC,18,LV,0
LV,1,NE,0
LV,2,LAC,1
LV,3,WAS,0
LV,4,CHI,1
LV,5,IND,0
LV,6,TEN,1
LV,7,KC,0
LV,8,BYE,0
LV,9,JAX,1
LV,10,DEN,0
LV,11,DAL,1
LV,12,CLE,1
LV,13,LAC,0
LV,14,DEN,1
LV,15,PHI,0
LV,16,HOU,0
LV,17,NYG,1
LV,18,KC,1
LAC,1,KC,1
LAC,2,LV,0
LAC,3,DEN,1
LAC,4,NYG,0
LAC,5,WAS,1
LAC,6,MIA,0
LAC,7,IND,1
LAC,8,MIN,1
LAC,9,TEN,0
LAC,10,PIT,1
LAC,11,JAX,0
LAC,12,BYE,0
LAC,13,LV,1
LAC,14,PHI,1
LAC,15,KC,0
LAC,16,DAL,0
LAC,17,HOU,1
LAC,18,DEN,0
LAR,1,HOU,1
LAR,2,TEN,0
LAR,3,PHI,0
LAR,4,IND,1
LAR,5,SF,1
LAR,6,BAL,0
LAR,7,JAX,0
LAR,8,BYE,0
LAR,9,NO,1
LAR,10,SF,0
LAR,11,SEA,1
LAR,12,TB,1
LAR,13,CAR,0
LAR,14,ARI,0
LAR,15,DET,1
LAR,16,SEA,0
LAR,17,ATL,0
LAR,18,ARI,1
MIA,1,IND,0
MIA,2,NE,1
MIA,3,BUF,0
MIA,4,NYJ,1
MIA,5,CAR,0
MIA,6,LAC,1
MIA,7,CLE,0
MIA,8,ATL,0
MIA,9,BAL,1
MIA,10,BUF,1
MIA,11,WAS,1
MIA,12,BYE,0
MIA,13,NO,1
MIA,14,NYJ,0
MIA,15,PIT,0
MIA,16,CIN,1
MIA,17,TB,1
MIA,18,NE,0
MIN,1,CHI,0
MIN,2,ATL,1
MIN,3,CIN,1
MIN,4,PIT,0
MIN,5,CLE,0
MIN,6,BYE,0
MIN,7,PHI,1
MIN,8,LAC,0
MIN,9,DET,0
MIN,10,BAL,1
MIN,11,CHI,1
MIN,12,GB,0
MIN,13,SEA,0
MIN,14,WAS,1
MIN,15,DAL,0
MIN,16,NYG,0
MIN,17,DET,1
MIN,18,GB,1
NE,1,LV,1
NE,2,MIA,0
NE,3,PIT,1
NE,4,CAR,1
NE,5,BUF,0
NE,6,NO,0
NE,7,TEN,0
NE,8,CLE,1
NE,9,ATL,1
NE,10,TB,0
NE,11,NYJ,1
NE,12,CIN,0
NE,13,NYG,1
NE,14,BYE,0
NE,15,BUF,1
NE,16,BAL,0
